department,semester,code,subject,filename,size_mb,archive
Computer Science & Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,computer-science-technology.zip
Computer Science & Technology,1,25712,English-I,English-I.pdf,242.2,computer-science-technology.zip
Computer Science & Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,computer-science-technology.zip
Computer Science & Technology,1,25912,Physics -I,Physics -I.pdf,110.1,computer-science-technology.zip
Computer Science & Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,computer-science-technology.zip
Computer Science & Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,computer-science-technology.zip
Computer Science & Technology,2,25913,Chemistry,Chemistry.pdf,143.9,computer-science-technology.zip
Computer Science & Technology,2,28522,Computer Graphics Design-I,Computer Graphics Design-I.pdf,70.2,computer-science-technology.zip
Computer Science & Technology,2,25722,English-II,English-II.pdf,160.1,computer-science-technology.zip
Computer Science & Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,computer-science-technology.zip
Computer Science & Technology,2,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,computer-science-technology.zip
Computer Science & Technology,2,28521,Python Programming,Python Programming.pdf,60.2,computer-science-technology.zip
Computer Science & Technology,3,28531,Application Development Using Python,Application Development Using Python.pdf,78.1,computer-science-technology.zip
Computer Science & Technology,3,28532,Computer Graphics Design-II,Computer Graphics Design-II.pdf,50.2,computer-science-technology.zip
Computer Science & Technology,3,26831,Digital Electronics-I,Digital Electronics-I.pdf,76.4,computer-science-technology.zip
Computer Science & Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,computer-science-technology.zip
Computer Science & Technology,3,25922,Physics -II,Physics -II.pdf,133.4,computer-science-technology.zip
Computer Science & Technology,3,25811,Social Science,Social Science.pdf,149.7,computer-science-technology.zip
Computer Science & Technology,4,25831,Business Communication,Business Communication.pdf,60.6,computer-science-technology.zip
Computer Science & Technology,4,28543,Computer Peripherals & Interfacing,Computer Peripherals & Interfacing.pdf,63.6,computer-science-technology.zip
Computer Science & Technology,4,28542,Data Structure & Algorithm,Data Structure & Algorithm.pdf,70.9,computer-science-technology.zip
Computer Science & Technology,4,26841,Digital Electronics-II,Digital Electronics-II.pdf,68.4,computer-science-technology.zip
Computer Science & Technology,4,29041,Environmental Studies,Environmental Studies.pdf,139.7,computer-science-technology.zip
Computer Science & Technology,4,28541,Java Programming,Java Programming.pdf,74.4,computer-science-technology.zip
Computer Science & Technology,4,28544,Web Design & Development-I,Web Design & Development-I.pdf,38.6,computer-science-technology.zip
Computer Science & Technology,5,25841,Accounting,Accounting.pdf,67.1,computer-science-technology.zip
Computer Science & Technology,5,28551,Application Development Using Java,Application Development Using Java.pdf,86.8,computer-science-technology.zip
Computer Science & Technology,5,28553,Computer Architecture & Microprocessor,Computer Architecture & Microprocessor.pdf,105.6,computer-science-technology.zip
Computer Science & Technology,5,28554,Data Communication,Data Communication.pdf,127.1,computer-science-technology.zip
Computer Science & Technology,5,28555,Operating System,Operating System.pdf,150.4,computer-science-technology.zip
Computer Science & Technology,5,28556,Project Work-I,Project Work-I.pdf,44.1,computer-science-technology.zip
Computer Science & Technology,5,28552,Web Design & Development-II,Web Design & Development-II.pdf,75.3,computer-science-technology.zip
Computer Science & Technology,6,28562,Computer Networking,Computer Networking.pdf,92.2,computer-science-technology.zip
Computer Science & Technology,6,28561,Database Management System,Database Management System.pdf,101.5,computer-science-technology.zip
Computer Science & Technology,6,25852,Industrial Management,Industrial Management.pdf,103.8,computer-science-technology.zip
Computer Science & Technology,6,28564,Microcontroller Based System Design & Development,Microcontroller Based System Design & Development.pdf,113.9,computer-science-technology.zip
Computer Science & Technology,6,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,computer-science-technology.zip
Computer Science & Technology,6,28563,Sensor & IoT System,Sensor & IoT System.pdf,92.2,computer-science-technology.zip
Computer Science & Technology,6,28565,Surveillance Security System,Surveillance Security System.pdf,84.4,computer-science-technology.zip
Computer Science & Technology,6,28566,Web Development Project,Web Development Project.pdf,173.7,computer-science-technology.zip
Computer Science & Technology,7,28574,Apps Development Project,Apps Development Project.pdf,172.5,computer-science-technology.zip
Computer Science & Technology,7,28573,Cyber Security & Ethics,Cyber Security & Ethics.pdf,71.8,computer-science-technology.zip
Computer Science & Technology,7,28571,Digital Marketing Technique,Digital Marketing Technique.pdf,117.5,computer-science-technology.zip
Computer Science & Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,computer-science-technology.zip
Computer Science & Technology,7,28575,Multimedia & Animation,Multimedia & Animation.pdf,135.5,computer-science-technology.zip
Computer Science & Technology,7,28572,Network Administration & Services,Network Administration & Services.pdf,110.2,computer-science-technology.zip
Construction Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,construction-technology.zip
Construction Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,construction-technology.zip
Construction Technology,1,25913,Chemistry,Chemistry.pdf,143.9,construction-technology.zip
Construction Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,construction-technology.zip
Construction Technology,1,25712,English-I,English-I.pdf,242.2,construction-technology.zip
Construction Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,construction-technology.zip
Construction Technology,1,25811,Social Science,Social Science.pdf,149.7,construction-technology.zip
Construction Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,construction-technology.zip
Construction Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,construction-technology.zip
Construction Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,construction-technology.zip
Construction Technology,2,26421,Civil Engineering Drawing,Civil Engineering Drawing.pdf,50.4,construction-technology.zip
Construction Technology,2,25722,English-II,English-II.pdf,160.1,construction-technology.zip
Construction Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,construction-technology.zip
Construction Technology,2,25812,Physical Education & Life Skills Development,Physical Education & Life Skills Development.pdf,68.0,construction-technology.zip
Construction Technology,2,25912,Physics -I,Physics -I.pdf,110.1,construction-technology.zip
Construction Technology,3,25831,Business Communication,Business Communication.pdf,60.6,construction-technology.zip
Construction Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,construction-technology.zip
Construction Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,construction-technology.zip
Construction Technology,3,25922,Physics-II,Physics-II.pdf,133.4,construction-technology.zip
Construction Technology,3,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,construction-technology.zip
Construction Technology,4,25841,Accounting,Accounting.pdf,67.1,construction-technology.zip
Construction Technology,4,26443,Civil CAD-I,Civil CAD-I.pdf,61.9,construction-technology.zip
Construction Technology,4,26442,Estimating & Costing-I,Estimating & Costing-I.pdf,63.3,construction-technology.zip
Construction Technology,4,26445,Geotechnical Engineering,Geotechnical Engineering.pdf,62.8,construction-technology.zip
Construction Technology,4,26444,Surveying-II,Surveying-II.pdf,75.6,construction-technology.zip
Construction Technology,5,29041,Environmental Studies,Environmental Studies.pdf,139.7,construction-technology.zip
Construction Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,construction-technology.zip
Construction Technology,6,28861,Advanced Construction,Advanced Construction.pdf,69.4,construction-technology.zip
Construction Technology,6,26464,Design of Structure-I,Design of Structure-I.pdf,104.8,construction-technology.zip
Construction Technology,6,28863,Steel Structures,Steel Structures.pdf,41.1,construction-technology.zip
Construction Technology,6,26463,Transportation Engineering-I,Transportation Engineering-I.pdf,125.4,construction-technology.zip
Construction Technology,6,26461,Water Resources Engineering,Water Resources Engineering.pdf,117.5,construction-technology.zip
Construction Technology,7,28871,Construction Management & Documentation,Construction Management & Documentation.pdf,92.0,construction-technology.zip
Construction Technology,7,26474,Design of Structure-II,Design of Structure-II.pdf,114.9,construction-technology.zip
Construction Technology,7,26475,Estimating & Costing-II,Estimating & Costing-II.pdf,202.3,construction-technology.zip
Construction Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,construction-technology.zip
Construction Technology,7,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,construction-technology.zip
Construction Technology,7,26472,Sanitary Engineering,Sanitary Engineering.pdf,122.2,construction-technology.zip
Construction Technology,7,26473,Transportation Engineering-II,Transportation Engineering-II.pdf,119.4,construction-technology.zip
Electrical Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,electrical-technology.zip
Electrical Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,electrical-technology.zip
Electrical Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,electrical-technology.zip
Electrical Technology,1,25712,English-I,English-I.pdf,242.2,electrical-technology.zip
Electrical Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,electrical-technology.zip
Electrical Technology,1,25812,Physical Education & Life skill Development,Physical Education & Life skill Development.pdf,68.0,electrical-technology.zip
Electrical Technology,1,25912,Physics-I,Physics-I.pdf,110.1,electrical-technology.zip
Electrical Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,electrical-technology.zip
Electrical Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,electrical-technology.zip
Electrical Technology,2,26721,Electrical Circuits-I,Electrical Circuits-I.pdf,89.7,electrical-technology.zip
Electrical Technology,2,26722,Electrical Engineering Drawing,Electrical Engineering Drawing.pdf,90.2,electrical-technology.zip
Electrical Technology,2,25722,English-II,English-II.pdf,160.1,electrical-technology.zip
Electrical Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,electrical-technology.zip
Electrical Technology,2,25922,Physics -II,Physics -II.pdf,133.4,electrical-technology.zip
Electrical Technology,3,25913,Chemistry,Chemistry.pdf,143.9,electrical-technology.zip
Electrical Technology,3,28511,Computer Office Applications,Computer Office Applications.pdf,114.3,electrical-technology.zip
Electrical Technology,3,26732,Electrical Appliances,Electrical Appliances.pdf,67.9,electrical-technology.zip
Electrical Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,electrical-technology.zip
Electrical Technology,4,25841,Accounting,Accounting.pdf,67.1,electrical-technology.zip
Electrical Technology,4,27044,Applied Mechanics,Applied Mechanics.pdf,78.1,electrical-technology.zip
Electrical Technology,4,26742,DC Machine,DC Machine.pdf,63.8,electrical-technology.zip
Electrical Technology,4,26845,Digital Electronics,Digital Electronics.pdf,58.8,electrical-technology.zip
Electrical Technology,4,26743,Electrical Engineering Project-I,Electrical Engineering Project-I.pdf,39.1,electrical-technology.zip
Electrical Technology,4,26741,"Electrical Installation,Planning and Estimating","Electrical Installation,Planning and Estimating.pdf",130.6,electrical-technology.zip
Electrical Technology,4,25811,Social Science,Social Science.pdf,149.7,electrical-technology.zip
Electrical Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,electrical-technology.zip
Electrical Technology,5,26753,Measurements-I Testing and Maintannance of Electrical Equipments,Measurements-I Testing and Maintannance of Electrical Equipments.pdf,98.3,electrical-technology.zip
Electrical Technology,5,25851,Principle of Marketing,Principle of Marketing.pdf,91.8,electrical-technology.zip
Electrical Technology,6,26761,AC Machine-I,AC Machine-I.pdf,118.3,electrical-technology.zip
Electrical Technology,6,26842,Communication Engineering,Communication Engineering.pdf,118.6,electrical-technology.zip
Electrical Technology,6,26763,Electrical Power-I Electrical & Electronic Measurements-II,Electrical Power-I Electrical & Electronic Measurements-II.pdf,69.1,electrical-technology.zip
Electrical Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,electrical-technology.zip
Electrical Technology,6,28567,Progamming in C,Progamming in C.pdf,143.8,electrical-technology.zip
Electrical Technology,6,26762,Transmission and Distribution of,Transmission and Distribution of.pdf,158.6,electrical-technology.zip
Electrical Technology,7,26771,AC Machine-II,AC Machine-II.pdf,112.2,electrical-technology.zip
Electrical Technology,7,26875,Automation Engineering & PLC,Automation Engineering & PLC.pdf,110.3,electrical-technology.zip
Electrical Technology,7,25831,Business Communication,Business Communication.pdf,60.6,electrical-technology.zip
Electrical Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,electrical-technology.zip
Electrical Technology,7,26773,Switch Gear and Protection,Switch Gear and Protection.pdf,132.7,electrical-technology.zip
Electrical Technology,7,26772,Transmission and Distribution of Electrical Power-II,Transmission and Distribution of Electrical Power-II.pdf,113.5,electrical-technology.zip
Electromedical Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,electromedical-technology.zip
Electromedical Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,electromedical-technology.zip
Electromedical Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,electromedical-technology.zip
Electromedical Technology,1,25712,English-I,English-I.pdf,242.2,electromedical-technology.zip
Electromedical Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,electromedical-technology.zip
Electromedical Technology,1,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,electromedical-technology.zip
Electromedical Technology,1,25912,Physics-I,Physics-I.pdf,110.1,electromedical-technology.zip
Electromedical Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,electromedical-technology.zip
Electromedical Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,electromedical-technology.zip
Electromedical Technology,2,26721,Electrical Circuits-I,Electrical Circuits-I.pdf,89.7,electromedical-technology.zip
Electromedical Technology,2,25722,English-II,English-II.pdf,160.1,electromedical-technology.zip
Electromedical Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,electromedical-technology.zip
Electromedical Technology,2,25922,Physics -II,Physics -II.pdf,133.4,electromedical-technology.zip
Electromedical Technology,3,25913,Chemistry,Chemistry.pdf,143.9,electromedical-technology.zip
Electromedical Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,electromedical-technology.zip
Electromedical Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,electromedical-technology.zip
Electromedical Technology,3,25811,Social Science,Social Science.pdf,149.7,electromedical-technology.zip
Electromedical Technology,4,25841,Accounting,Accounting.pdf,67.1,electromedical-technology.zip
Electromedical Technology,4,26742,DC Machine,DC Machine.pdf,63.8,electromedical-technology.zip
Electromedical Technology,4,26845,Digital Electronics,Digital Electronics.pdf,58.8,electromedical-technology.zip
Electromedical Technology,4,26741,"Electrical Installation,Planning and Estimating","Electrical Installation,Planning and Estimating.pdf",130.6,electromedical-technology.zip
Electromedical Technology,5,26761,AC Machine-I,AC Machine-I.pdf,118.3,electromedical-technology.zip
Electromedical Technology,5,26763,Electrical & Electronic Measurements-II,Electrical & Electronic Measurements-II.pdf,69.1,electromedical-technology.zip
Electromedical Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,electromedical-technology.zip
Electromedical Technology,5,25851,Principle of Marketing,Principle of Marketing.pdf,91.8,electromedical-technology.zip
Electromedical Technology,5,28567,Programming in C,Programming in C.pdf,143.8,electromedical-technology.zip
Electromedical Technology,6,26771,AC Machine-II,AC Machine-II.pdf,112.2,electromedical-technology.zip
Electromedical Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,electromedical-technology.zip
Electromedical Technology,7,25831,Business Communication,Business Communication.pdf,60.6,electromedical-technology.zip
Electromedical Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,electromedical-technology.zip
Electromedical Technology,7,26773,Switch Gear and Protection,Switch Gear and Protection.pdf,132.7,electromedical-technology.zip
Electronics Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,electronics-technology.zip
Electronics Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,electronics-technology.zip
Electronics Technology,1,26811,Basic Electronics,Basic Electronics.pdf,101.4,electronics-technology.zip
Electronics Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,electronics-technology.zip
Electronics Technology,1,25712,English-I,English-I.pdf,242.2,electronics-technology.zip
Electronics Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,electronics-technology.zip
Electronics Technology,1,25912,Physics-I,Physics-I.pdf,110.1,electronics-technology.zip
Electronics Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,electronics-technology.zip
Electronics Technology,2,25913,Chemistry,Chemistry.pdf,143.9,electronics-technology.zip
Electronics Technology,2,26721,Electrical Circuits-I,Electrical Circuits-I.pdf,89.7,electronics-technology.zip
Electronics Technology,2,26821,Electronic Devices and,Electronic Devices and.pdf,112.1,electronics-technology.zip
Electronics Technology,2,25722,English-II,English-II.pdf,160.1,electronics-technology.zip
Electronics Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,electronics-technology.zip
Electronics Technology,2,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,electronics-technology.zip
Electronics Technology,2,25811,Social Science,Social Science.pdf,149.7,electronics-technology.zip
Electronics Technology,3,28511,Computer Office Application,Computer Office Application.pdf,114.3,electronics-technology.zip
Electronics Technology,3,26831,Digital Electronics -I,Digital Electronics -I.pdf,76.4,electronics-technology.zip
Electronics Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,electronics-technology.zip
Electronics Technology,3,25922,Physics -II,Physics -II.pdf,133.4,electronics-technology.zip
Electronics Technology,4,25841,Accounting Electrical,Accounting Electrical.pdf,67.1,electronics-technology.zip
Electronics Technology,4,26842,Communication Engineering,Communication Engineering.pdf,118.6,electronics-technology.zip
Electronics Technology,4,26742,DC Machine,DC Machine.pdf,63.8,electronics-technology.zip
Electronics Technology,4,26841,Digital Electronics -II,Digital Electronics -II.pdf,68.4,electronics-technology.zip
Electronics Technology,4,26741,"Installation,Planning and Estimating","Installation,Planning and Estimating.pdf",130.6,electronics-technology.zip
Electronics Technology,5,26852,Electronic Appliances,Electronic Appliances.pdf,36.9,electronics-technology.zip
Electronics Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,electronics-technology.zip
Electronics Technology,5,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,electronics-technology.zip
Electronics Technology,5,28567,Programming in C,Programming in C.pdf,143.8,electronics-technology.zip
Electronics Technology,5,26851,Television Engineering,Television Engineering.pdf,141.9,electronics-technology.zip
Electronics Technology,6,26761,AC Machine-I,AC Machine-I.pdf,118.3,electronics-technology.zip
Electronics Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,electronics-technology.zip
Electronics Technology,6,26862,Microcontroller and Embedded System,Microcontroller and Embedded System.pdf,97.9,electronics-technology.zip
Electronics Technology,6,26863,PCB Design and Prototyping,PCB Design and Prototyping.pdf,84.7,electronics-technology.zip
Electronics Technology,6,26861,TV Studio and Broadcasting,TV Studio and Broadcasting.pdf,71.3,electronics-technology.zip
Electronics Technology,6,26763,of Eectrical Power Electrical & Electronic Measurements-II,of Eectrical Power Electrical & Electronic Measurements-II.pdf,69.1,electronics-technology.zip
Electronics Technology,7,26771,AC Machine-II,AC Machine-II.pdf,112.2,electronics-technology.zip
Electronics Technology,7,25831,Business Communication,Business Communication.pdf,60.6,electronics-technology.zip
Electronics Technology,7,26872,Industrial Automation and PLC,Industrial Automation and PLC.pdf,87.6,electronics-technology.zip
Electronics Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,electronics-technology.zip
Electronics Technology,7,26871,Microwave Radar and Navigation Aids,Microwave Radar and Navigation Aids.pdf,91.5,electronics-technology.zip
Environmental Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,environmental-technology.zip
Environmental Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,environmental-technology.zip
Environmental Technology,1,25913,Chemistry,Chemistry.pdf,143.9,environmental-technology.zip
Environmental Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,environmental-technology.zip
Environmental Technology,1,25712,English-I,English-I.pdf,242.2,environmental-technology.zip
Environmental Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,environmental-technology.zip
Environmental Technology,1,25811,Social Science,Social Science.pdf,149.7,environmental-technology.zip
Environmental Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,environmental-technology.zip
Environmental Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,environmental-technology.zip
Environmental Technology,2,26421,Civil Engineering Drawing,Civil Engineering Drawing.pdf,50.4,environmental-technology.zip
Environmental Technology,2,28511,Computer Office Application,Computer Office Application.pdf,114.3,environmental-technology.zip
Environmental Technology,2,25722,English-II,English-II.pdf,160.1,environmental-technology.zip
Environmental Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,environmental-technology.zip
Environmental Technology,2,25912,Physics -I,Physics -I.pdf,110.1,environmental-technology.zip
Environmental Technology,3,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,environmental-technology.zip
Environmental Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,environmental-technology.zip
Environmental Technology,3,25922,Physics-II,Physics-II.pdf,133.4,environmental-technology.zip
Environmental Technology,4,25831,Business Communication,Business Communication.pdf,60.6,environmental-technology.zip
Environmental Technology,4,26443,Civil CAD-I,Civil CAD-I.pdf,61.9,environmental-technology.zip
Environmental Technology,4,26442,Estimating & Costing-I,Estimating & Costing-I.pdf,63.3,environmental-technology.zip
Environmental Technology,4,26445,Geotechnical Engineering,Geotechnical Engineering.pdf,62.8,environmental-technology.zip
Environmental Technology,4,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,environmental-technology.zip
Environmental Technology,4,26431,Structural Mechanics,Structural Mechanics.pdf,138.2,environmental-technology.zip
Environmental Technology,4,26444,Surveying-II,Surveying-II.pdf,75.6,environmental-technology.zip
Environmental Technology,5,25841,Accounting,Accounting.pdf,67.1,environmental-technology.zip
Environmental Technology,5,26441,Construction Process-II,Construction Process-II.pdf,141.0,environmental-technology.zip
Environmental Technology,6,26464,Design of Structure-I,Design of Structure-I.pdf,104.8,environmental-technology.zip
Environmental Technology,6,25852,Industrial Management,Industrial Management.pdf,103.8,environmental-technology.zip
Environmental Technology,6,26463,Transportation Engineering-I,Transportation Engineering-I.pdf,125.4,environmental-technology.zip
Environmental Technology,7,28871,Construction Management & Documentation,Construction Management & Documentation.pdf,92.0,environmental-technology.zip
Environmental Technology,7,26475,Estimating & Costing-II,Estimating & Costing-II.pdf,202.3,environmental-technology.zip
Environmental Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,environmental-technology.zip
Environmental Technology,7,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,environmental-technology.zip
Environmental Technology,7,26472,Sanitary Engineering,Sanitary Engineering.pdf,122.2,environmental-technology.zip
Food Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,food-technology.zip
Food Technology,1,25913,Chemistry,Chemistry.pdf,143.9,food-technology.zip
Food Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,food-technology.zip
Food Technology,1,25712,English-I,English-I.pdf,242.2,food-technology.zip
Food Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,food-technology.zip
Food Technology,1,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,food-technology.zip
Food Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,food-technology.zip
Food Technology,2,26711,Basic Electricity,Basic Electricity.pdf,102.0,food-technology.zip
Food Technology,2,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,food-technology.zip
Food Technology,2,25722,English-II,English-II.pdf,160.1,food-technology.zip
Food Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,food-technology.zip
Food Technology,2,25912,Physics -I,Physics -I.pdf,110.1,food-technology.zip
Food Technology,3,26811,Basic Electronics,Basic Electronics.pdf,101.4,food-technology.zip
Food Technology,3,28511,Computer office Application,Computer office Application.pdf,114.3,food-technology.zip
Food Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,food-technology.zip
Food Technology,3,25922,Physics-II,Physics-II.pdf,133.4,food-technology.zip
Food Technology,3,25811,Social Science,Social Science.pdf,149.7,food-technology.zip
Food Technology,4,25841,Accounting,Accounting.pdf,67.1,food-technology.zip
Food Technology,4,25831,Business Communication,Business Communication.pdf,60.6,food-technology.zip
Food Technology,4,27041,Engineering Mechanics,Engineering Mechanics.pdf,72.7,food-technology.zip
Food Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,food-technology.zip
Food Technology,6,29041,Environmental Studies,Environmental Studies.pdf,139.7,food-technology.zip
Food Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,food-technology.zip
Food Technology,7,25851,Principles of Marketing,Principles of Marketing.pdf,91.8,food-technology.zip
Footwear Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,footwear-technology.zip
Footwear Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,footwear-technology.zip
Footwear Technology,1,27011,Basic Workshop Practice,Basic Workshop Practice.pdf,106.9,footwear-technology.zip
Footwear Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,footwear-technology.zip
Footwear Technology,1,25712,English-I,English-I.pdf,242.2,footwear-technology.zip
Footwear Technology,1,25911,Mathematics -I,Mathematics -I.pdf,107.4,footwear-technology.zip
Footwear Technology,1,25812,Physical Education & Life skills Development,Physical Education & Life skills Development.pdf,68.0,footwear-technology.zip
Footwear Technology,1,25912,Physics-I,Physics-I.pdf,110.1,footwear-technology.zip
Footwear Technology,2,25721,Bangla -II,Bangla -II.pdf,163.4,footwear-technology.zip
Footwear Technology,2,25722,English-II,English-II.pdf,160.1,footwear-technology.zip
Footwear Technology,2,25921,Mathematics-II,Mathematics-II.pdf,87.5,footwear-technology.zip
Footwear Technology,2,25922,Physics -II,Physics -II.pdf,133.4,footwear-technology.zip
Footwear Technology,3,26811,Basic Electronics,Basic Electronics.pdf,101.4,footwear-technology.zip
Footwear Technology,3,25913,Chemistry,Chemistry.pdf,143.9,footwear-technology.zip
Footwear Technology,3,28511,Computer Office Appilication,Computer Office Appilication.pdf,114.3,footwear-technology.zip
Footwear Technology,3,25931,Mathematics-III,Mathematics-III.pdf,80.8,footwear-technology.zip
Footwear Technology,3,25811,Social Science,Social Science.pdf,149.7,footwear-technology.zip
Footwear Technology,4,25841,Accounting,Accounting.pdf,67.1,footwear-technology.zip
Footwear Technology,4,29041,Environmental Studies,Environmental Studies.pdf,139.7,footwear-technology.zip
Footwear Technology,5,25852,Industrial Management,Industrial Management.pdf,103.8,footwear-technology.zip
Footwear Technology,6,25831,Business Communication,Business Communication.pdf,60.6,footwear-technology.zip
Footwear Technology,6,25851,Principle of Marketing,Principle of Marketing.pdf,91.8,footwear-technology.zip
Footwear Technology,7,25853,Innovation & Entrepreneurship,Innovation & Entrepreneurship.pdf,118.6,footwear-technology.zip
Geoinformatics Technology,1,25711,Bangla-I,Bangla-I.pdf,110.2,geoinformatics-technology.zip
Geoinformatics Technology,1,26711,Basic Electricity,Basic Electricity.pdf,102.0,geoinformatics-technology.zip
Geoinformatics Technology,1,21011,Engineering Drawing,Engineering Drawing.pdf,68.0,geoinformatics-technology.zip
Geoinformatics Technology,1,25712,English-I,English-I.pdf,242.2,geoinformatics-technology.zip
Geoinformatics Technology,1,25911,Mathematics-I,Mathematics-I.pdf,107.4,geoinformatics-technology.zip
Geoinformatics Technology,1,25912,Physics-I,Physics-I.pdf,110.1,geoinformatics-technology.zip
Geoinformatics Technology,1,25811,Social Science,Social Science.pdf,149.7,geoinformatics-technology.zip
Geoinformatics Technology,2,25721,Bangla-II,Bangla-II.pdf,163.4,geoinformatics-technology.zip
Geoinformatics Technology,2,26811,Basic Electronics,Basic Electronics.pdf,101.4,geoinformatics-technology.zip
Geoinformatics Technology,2,28511,Computer office Application,Computer office Application.pdf,114.3,geoinformatics-technology.zip
Geoinformatics Technology,2,25722,English -II,English -II.pdf,160.1,geoinformatics-technology.zip
